Orele,Activitatea,Locația
07:30–08:30,Mic dejun,Hotel Grand
08:45–09:10,Slujbă religioasă,Liceul Vocațional Reformat – sala festivă
10:00–13:00,Proba scrisă a concursului,Liceul Vocațional Reformat
14:00–15:00,Prânz,Hotel Grand
16:00–19:00,"Vizitarea orașului (grădina zoologică, Palatul Culturii, cetatea medievală)",
19:00,Cină/Cină festivă,Hotel Grand
20:00,Afișarea rezultatelor inițiale,Liceul Vocațional Reformat
20:00–20:30,Ședință technică,Sălile de examen
20:30–21:00,Depunerea contestațiilor,Liceul Vocațional Reformat
21:00,Refi-színpad,Liceul Vocațional Reformat – sala festivă
